"","Site.name","Reef.type","Acropora","Other.coral","Total.coral","Bleached.Acropora","Bleached.other.coral","Total.bleached","Acropora.perc"
"1","Baresdhoo inside","Inner",8.525,20.205,28.73,4.1575,0.1725,4.33,29.6728158719109
"2","Fonadhoo inside","Inner",1.865,39.05,40.915,0.93,0,0.93,4.55823047781987
"3","Fonadhoo outside","Outer",11.02,23.0325,34.0525,0,0.0825,0.0825,32.3617942882314
"4","Fonagaadhoo outside","Outer",2.0575,37.8,39.8575,0.2575,0,0.2575,5.16214012419243
"5","Fushi kandu","Channel",5.47,30.8075,36.2775,0.5025,0.0825,0.585,15.0782165253945
"6","Gaadhoo corner","Channel",3.205,20.14,23.345,0,0,0,13.7288498607839
"7","Gaadhoo inside","Inner",0.3325,24.585,24.9175,0,0,0,1.33440353165446
"8","Gaadhoo outside","Outer",1.1875,11.7925,12.98,0,0,0,9.14869029275809
"9","Hassanhaa","Thila",10.5825,18.025,28.6075,0,0,0,36.9920475399808
"10","Hithadhoo corner","Channel",1.9625,16.5275,18.49,0,0,0,10.6138453217956
"11","Hithadhoo inside","Inner",4.1725,14.41,18.5825,0,0,0,22.4539217005247
"12","Hithadhoo west","Outer",14.0075,23.535,37.5425,0.1675,0,0.1675,37.3110474795232
"13","Isdhoo muli","Outer",2.935,24.2925,27.2275,0.0825,0,0.0825,10.7795427417133
"14","Kuda falhu","Thila",2.76,7.1775,9.9375,4.4675,0.9375,5.405,27.7735849056604
"15","Kurethi outside","Outer",2.31,14.5875,16.8975,0,0,0,13.670661340435
"16","Laamafaruhaa","Thila",1.0825,24.93,26.0125,0.25,0,0.25,4.16146083613647
"17","Maabaidhoo inside","Inner",2.74,25.7975,28.5375,3.6425,0.795,4.4375,9.60140166447657
"18","Maabaidhoo outside","Outer",3.4825,17.12,20.6025,1.73,0,1.73,16.9032884358694
"19","Maavah corner","Channel",1.305,29.5775,30.8825,0,0,0,4.22569416336113
"20","Maavah inside","Inner",1.52,38.9425,40.4625,0,0,0,3.75656472042014
"21","Maavah outside","Outer",0.9975,11.99,12.9875,0,0,0,7.68046198267565
"22","Mundoo kandu","Channel",7.23,24.6125,31.8425,0,0,0,22.7055036507812
"23","Olhutholhu inside","Inner",2.415,23.28,25.695,0,0,0,9.39871570344425
"24","Olhuveli corner","Channel",0,14.485,14.485,0,0,0,0
"25","Olhuveli reef","Inner",8.0475,20.0325,28.08,0,0,0,28.659188034188
"26","Raha Inside","Inner",15.175,30.0475,45.2225,0.415,0,0.415,33.5563049367019
"27","Rahdhashuhaa","Thila",20.505,21.445,41.95,2.875,0,2.875,48.8796185935638
"28","Vadinolhu kandu","Channel",0,24.7025,24.7025,0,0,0,0
