site,2019,2022,percentage change
Hithadhoo inside,177,62,-64.97175141
Maavah outside,83,37,-55.42168675
Olhuveli island,65,34,-47.69230769
Pink thila,64,34,-46.875
Hithadhoo west,85,46,-45.88235294
Gaadhoo inside,49,30,-38.7755102
Fonadhoo inside,41,29,-29.26829268
Maabaidhoo inside,65,46,-29.23076923
Gadhoo outside,50,38,-24
Radashuhaa,126,97,-23.01587302
Fushi kandu,242,189,-21.90082645
Laamafaruhaa,57,46,-19.29824561
Hithadhoo corner,27,22,-18.51851852
Maavah corner,113,99,-12.38938053
Olhuveli corner,52,50,-3.846153846
Fonadhoo outside,27,29,7.407407407
Kurethi west,61,84,37.70491803
Maabaidhoo outside,26,62,138.4615385
Maavah inside,11,33,200
