"","Site","Depth","Replicate.No.","Family","Species","count"
"1","OI",5,1,"PAR","3 COLOR",1
"2","OI",5,1,"PAR","DUSKY",8
"3","OI",5,1,"PAR","EMBER",3
"4","OI",5,1,"PAR","L NOSE",1
"5","OI",5,1,"PAR","ROSY",2
"6","OI",5,1,"PAR","SHEEPHEAD",1
"7","OI",5,1,"PAR","SORDID",20
"8","OI",5,1,"RAB","CHIN",1
"9","OI",10,1,"BUT","AUR",4
"10","OI",10,1,"BUT","FAL",6
"11","OI",10,1,"BUT","KLE",3
"12","OI",10,1,"BUT","MEY",1
"13","OI",10,1,"BUT","TFT",7
"14","OI",10,1,"BUT","TRI",12
"15","OI",10,1,"GRO","ARE",2
"16","OI",10,1,"GRO","LEA",1
"17","OI",10,1,"GRO","ROG",1
"18","OI",10,1,"PAR","DUSKY",10
"19","OI",10,1,"PAR","ROSY",2
"20","OI",10,1,"PAR","SORDID",20
"21","OI",10,1,"SNAP","GIB",1
"22","OI",10,1,"SNAP","MONO",4
"23","OI",10,1,"TRIG","STR",2
