Surveyors Name,Site,Start Time,End Time,Depth,Replicate No.,Family,Species,Size
AZ,OI,08:21,08:31,10,1,SNAP,GIB,03-Oct
AZ,OI,08:21,08:31,10,1,SNAP,MONO,03-Oct
AZ,OI,08:21,08:31,10,1,SNAP,MONO,03-Oct
AZ,OI,08:21,08:31,10,1,SNAP,MONO,03-Oct
AZ,OI,08:21,08:31,10,1,SNAP,MONO,03-Oct
AZ,OI,08:21,08:31,10,1,GRO,ARE,03-Oct
AZ,OI,08:21,08:31,10,1,GRO,ARE,Nov-20
AZ,OI,08:21,08:31,10,1,GRO,LEA,Nov-20
AZ,OI,08:21,08:31,10,1,GRO,ROG,03-Oct
AZ,OI,08:21,08:31,10,1,BUT,AUR,NA
AZ,OI,08:21,08:31,10,1,BUT,AUR,NA
AZ,OI,08:21,08:31,10,1,BUT,AUR,NA
AZ,OI,08:21,08:31,10,1,BUT,AUR,NA
AZ,OI,08:21,08:31,10,1,BUT,FAL,NA
AZ,OI,08:21,08:31,10,1,BUT,FAL,NA
AZ,OI,08:21,08:31,10,1,BUT,FAL,NA
AZ,OI,08:21,08:31,10,1,BUT,FAL,NA
AZ,OI,08:21,08:31,10,1,BUT,FAL,NA
AZ,OI,08:21,08:31,10,1,BUT,FAL,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,TRI,NA
AZ,OI,08:21,08:31,10,1,BUT,KLE,NA
AZ,OI,08:21,08:31,10,1,BUT,KLE,NA
AZ,OI,08:21,08:31,10,1,BUT,KLE,NA
AZ,OI,08:21,08:31,10,1,BUT,MEY,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
AZ,OI,08:21,08:31,10,1,BUT,TFT,NA
VE,OI,09:59,10:20,5,1,RAB,CHIN,NA
VE,OI,09:59,10:20,5,1,PAR,SHEEPHEAD,41-50
VE,OI,09:59,10:20,5,1,PAR,EMBER,03-Oct
VE,OI,09:59,10:20,5,1,PAR,EMBER,03-Oct
VE,OI,09:59,10:20,5,1,PAR,EMBER,03-Oct
VE,OI,09:59,10:20,5,1,PAR,SORDID,03-Oct
VE,OI,09:59,10:20,5,1,PAR,SORDID,03-Oct
VE,OI,09:59,10:20,5,1,PAR,SORDID,03-Oct
VE,OI,09:59,10:20,5,1,PAR,SORDID,Nov-20
VE,OI,09:59,10:20,5,1,PAR,SORDID,Nov-20
VE,OI,09:59,10:20,5,1,PAR,SORDID,Nov-20
VE,OI,09:59,10:20,5,1,PAR,SORDID,21-30
VE,OI,09:59,10:20,5,1,PAR,SORDID,21-30
VE,OI,09:59,10:20,5,1,PAR,SORDID,21-30
VE,OI,09:59,10:20,5,1,PAR,SORDID,21-30
VE,OI,09:59,10:20,5,1,PAR,SORDID,21-30
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,SORDID,31-40
VE,OI,09:59,10:20,5,1,PAR,DUSKY,Nov-20
VE,OI,09:59,10:20,5,1,PAR,DUSKY,Nov-20
VE,OI,09:59,10:20,5,1,PAR,DUSKY,21-30
VE,OI,09:59,10:20,5,1,PAR,DUSKY,21-30
VE,OI,09:59,10:20,5,1,PAR,DUSKY,31-40
VE,OI,09:59,10:20,5,1,PAR,DUSKY,31-40
VE,OI,09:59,10:20,5,1,PAR,DUSKY,31-40
VE,OI,09:59,10:20,5,1,PAR,DUSKY,31-40
VE,OI,09:59,10:20,5,1,PAR,3 COLOR,31-40
VE,OI,09:59,10:20,5,1,PAR,L NOSE,31-40
VE,OI,09:59,10:20,5,1,PAR,ROSY,21-30
VE,OI,09:59,10:20,5,1,PAR,ROSY,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,Nov-20
VE,OI,08:32,08:42,10,1,PAR,SORDID,Nov-20
VE,OI,08:32,08:42,10,1,PAR,SORDID,Nov-20
VE,OI,08:32,08:42,10,1,PAR,SORDID,Nov-20
VE,OI,08:32,08:42,10,1,PAR,SORDID,Nov-20
VE,OI,08:32,08:42,10,1,PAR,SORDID,Nov-20
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,21-30
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,SORDID,31-40
VE,OI,08:32,08:42,10,1,PAR,DUSKY,Nov-20
VE,OI,08:32,08:42,10,1,PAR,DUSKY,Nov-20
VE,OI,08:32,08:42,10,1,PAR,DUSKY,21-30
VE,OI,08:32,08:42,10,1,PAR,DUSKY,21-30
VE,OI,08:32,08:42,10,1,PAR,DUSKY,21-30
VE,OI,08:32,08:42,10,1,PAR,DUSKY,21-30
VE,OI,08:32,08:42,10,1,PAR,DUSKY,31-40
VE,OI,08:32,08:42,10,1,PAR,DUSKY,31-40
VE,OI,08:32,08:42,10,1,PAR,DUSKY,31-40
VE,OI,08:32,08:42,10,1,PAR,DUSKY,31-40
VE,OI,08:32,08:42,10,1,PAR,ROSY,03-Oct
VE,OI,08:32,08:42,10,1,PAR,ROSY,03-Oct
VE,OI,08:32,08:42,10,1,TRIG,STR,NA
VE,OI,08:32,08:42,10,1,TRIG,STR,NA
