"","Site.name","Depth","Site.ID","Reef.type","Hard coral","Soft coral","Bleached coral","Diseased coral","Sand","Dead coral","Sponge","Algae","Bare rock","Rubble","Other"
"1","Baresdhoo inside","5m","BI","Inner",39.07,0,6.49,0,0.33,3.625,23.17,0.335,18.625,8.18,0.17
"2","Baresdhoo inside","10m","BI","Inner",18.39,0,2.17,0,34.47,2.545,1.015,2.95,8.6,29.835,0
"3","Fonadhoo inside","5m","FI","Inner",32.515,0,0.725,0,10.03,2.55,1.885,15.745,7.07,27.97,1.46
"4","Fonadhoo inside","10m","FI","Inner",49.315,0,1.135,0.165,12.73,6.59,0.505,8.36,1.825,16.02,3.305
"5","Fonadhoo outside","10m","FO","Outer",33.425,0,0,0.345,0,3.87,6.73,0,8.615,1.55,45.425
"6","Fonadhoo outside","15m","FO","Outer",34.68,0,0.165,0,0,3.955,22.17,0,19.74,0,19.225
"7","Fonagaadhoo outside","10m","FGO","Outer",42.99,0.17,0.345,0,1.89,4.145,3.08,5.77,21.91,9.415,10.21
"8","Fonagaadhoo outside","15m","FGO","Outer",36.725,3.835,0.17,0,1.275,1.875,9.86,5.005,20.38,18.985,1.86
"9","Fushi kandu","10m","FK","Channel",40.62,0,1.005,0.17,1.52,1.19,2.365,2.73,19.04,10.53,20.755
"10","Fushi kandu","15m","FK","Channel",31.935,0.17,0.165,0.165,0,1.89,6.63,18.35,23.83,14.135,2.69
"11","Gaadhoo corner","10m","GC","Channel",8.66,0,0,0,1.83,0.165,8.005,0,74.825,4.5,2
"12","Gaadhoo corner","15m","GC","Channel",38.03,0,0,0,5.39,0.165,0.83,1.2,41.935,12.43,0
"13","Gaadhoo inside","5m","GI","Inner",21.03,0.165,0,0,0,0,0.165,0.33,35.76,41.35,1.185
"14","Gaadhoo inside","10m","GI","Inner",28.805,0,0,0,2.16,0.5,1,1.175,24.965,40.87,0.5
"15","Gaadhoo outside","10m","GO","Outer",11.045,0,0,0,0,0,6.955,0,75.49,0.5,6.02
"16","Gaadhoo outside","15m","GO","Outer",14.915,0,0,0,0,0.345,6.26,0.355,77.28,0.675,0.165
"17","Hassanhaa","5m","HH","Thila",48.18,0.345,0,0,3.735,8.63,14.7,6.015,9.525,7.395,1.415
"18","Hassanhaa","10m","HH","Thila",9.035,0,0,0,0,0.665,1.345,0,84.59,0.165,4.185
"19","Hithadhoo corner","10m","HC","Channel",12.78,0,0,0,0.385,0.385,4.42,0,76.03,5.985,0
"20","Hithadhoo corner","15m","HC","Channel",24.2,0,0,0,0,0.17,2.705,0.165,57.21,15.02,0.505
"21","Hithadhoo inside","5m","HI","Inner",16.35,0,0,0,0,2.695,8.675,0,60.525,11.585,0.165
"22","Hithadhoo inside","10m","HI","Inner",20.815,0,0,0,2.52,0.33,5.07,0,59.275,10.64,1.33
"23","Hithadhoo west","10m","HW","Outer",55.045,0,0.335,0,4.9,2.815,0.33,7.01,17.35,11.805,0.335
"24","Hithadhoo west","15m","HW","Outer",20.04,0,0,0,0,0.345,7.815,2.515,53.62,15.29,0.33
"25","Isdhoo muli","10m","IM","Outer",25.65,0,0.165,0,0.665,1.515,4.08,0.165,49.075,17.12,1.51
"26","Isdhoo muli","15m","IM","Outer",28.805,0,0,0,0,1.995,7.68,0,42.755,17.725,1
"27","Kuda falhu","5m","KF","Thila",8.25,0,2.675,0,1.025,2.535,0.335,2.21,18.285,31.665,32.975
"28","Kuda falhu","10m","KF","Thila",11.625,0,8.3,0,4.95,1.23,0.855,1.33,7.15,30.585,33.915
"29","Kurethi outside","10m","KO","Outer",14.41,0,0,0,0,0.75,5.68,1.91,55.845,1.225,20.17
"30","Kurethi outside","15m","KO","Outer",19.385,0,0,0,0.365,1.57,14,10.69,38.095,3.275,12.56
"31","Laamafaruhaa","5m","LF","Thila",26.765,0,0,0,0.37,7.05,2.67,2.165,30.69,29.58,0.665
"32","Laamafaruhaa","10m","LF","Thila",25.26,0.515,0.5,0,0.89,1.835,6.74,3.5,23.83,35.225,1.705
"33","Maabaidhoo inside","5m","MBI","Inner",28.29,0,4.675,0.17,0.17,1.195,5.51,2.025,40.285,17.64,0
"34","Maabaidhoo inside","10m","MBI","Inner",28.785,0.165,4.2,0.335,2.33,1.685,9.175,0.165,32.37,20.585,0.165
"35","Maabaidhoo outside","10m","MBO","Outer",23.03,0.345,2.78,0,0.495,0.85,3.045,12.375,28.825,13.56,14.59
"36","Maabaidhoo outside","15m","MBO","Outer",18.175,0.165,0.68,0.17,3.365,0.34,2.695,14.85,30.82,23.78,4.905
"37","Maavah corner","10m","MC","Channel",28.62,0,0,0,0.165,2.375,4.82,1.83,54.82,5.475,1.85
"38","Maavah corner","15m","MC","Channel",33.145,0,0,0,0.855,0.695,11.185,7.92,31.715,7.805,6.62
"39","Maavah inside","5m","MI","Inner",30.93,0,0,0,18.29,6.19,0.165,6.71,9.04,28.295,0.335
"40","Maavah inside","10m","MI","Inner",49.995,0,0,0,8.565,7.47,0,6.52,16.005,11.435,0
"41","Maavah outside","10m","MO","Outer",11.925,0,0,0,0,0,6.56,0,73.745,4.865,2.88
"42","Maavah outside","15m","MO","Outer",14.05,0,0,0,0.17,1.415,13.495,4.51,51.76,8.42,6.14
"43","Mundoo kandu","10m","MK","Channel",29.305,0,0,0,0.51,0,0.34,18.89,6.51,10.47,33.905
"44","Mundoo kandu","15m","MK","Channel",34.38,0,0,0,2.34,0.5,1.995,33.185,8.435,8.96,10.11
"45","Olhutholhu inside","5m","OI","Inner",24.255,0,0,0,13.71,0.165,4.42,1.205,43.935,7.845,4.44
"46","Olhutholhu inside","10m","OI","Inner",27.135,0.165,0,0,3.995,10.53,3.375,0,24.365,30.425,0
"47","Olhuveli corner","10m","OC","Channel",13.165,0,0,0,10.195,0,1.56,41.44,28.33,3.76,1.515
"48","Olhuveli corner","15m","OC","Channel",15.805,0,0,0,4.815,0,0.33,43.56,32.775,2.03,0.665
"49","Olhuveli reef","5m","OR","Inner",27.56,0,0,0,19.835,1.5,3.335,1.53,23.995,22.05,0.165
"50","Olhuveli reef","10m","OR","Inner",28.6,0,0,0,27.86,1.83,5.18,0.33,15.595,20.535,0
"51","Raha inside","5m","RI","Inner",37.495,0,0,0,21.325,7.99,1.165,0,11.335,20.675,0
"52","Raha inside","10m","RI","Inner",52.95,0,0.83,0,17.325,4.515,3.735,0,13.24,7.19,0.17
"53","Rahdashuhaa","10m","RDH","Thila",43.585,0,1.66,0,16.045,1.51,9.115,0.165,4.39,23.15,0.335
"54","Rahdashuhaa","15m","RDH","Thila",40.315,0,4.09,0,10.99,4.26,1.585,2.075,21.44,15.21,0
"55","Vadinolhu kandu","10m","VK","Channel",36.925,0,0,0,0,0.845,0.515,17.125,36.84,7.23,0.5
"56","Vadinolhu kandu","15m","VK","Channel",12.48,0,0,0,0,0,7.79,12.175,50.8,16.555,0.165
