"","Site.name","Hard.coral"
"1","Baresdhoo inside",28.73
"2","Fonadhoo inside",40.915
"3","Fonadhoo outside",34.0525
"4","Fonagaadhoo outside",39.8575
"5","Fushi kandu",36.2775
"6","Gaadhoo corner",23.345
"7","Gaadhoo inside",24.9175
"8","Gaadhoo outside",12.98
"9","Hassanhaa",28.6075
"10","Hithadhoo corner",18.49
"11","Hithadhoo inside",18.5825
"12","Hithadhoo west",37.5425
"13","Isdhoo muli",27.2275
"14","Kuda falhu",9.9375
"15","Kurethi outside",16.8975
"16","Laamafaruhaa",26.0125
"17","Maabaidhoo inside",28.5375
"18","Maabaidhoo outside",20.6025
"19","Maavah corner",30.8825
"20","Maavah inside",40.4625
"21","Maavah outside",12.9875
"22","Mundoo kandu",31.8425
"23","Olhutholhu inside",25.695
"24","Olhuveli corner",14.485
"25","Olhuveli reef",28.08
"26","Raha inside",45.2225
"27","Rahdashuhaa",41.95
"28","Vadinolhu kandu",24.7025
